"location","totaldeathcount"
"United States",1189083
"Brazil",702116
"India",533619
"Russia",403031
"Mexico",335011
"Africa",259101
"United Kingdom",232112
"Peru",220831
"Italy",197081
"Germany",174979
"France",168091
"Indonesia",162058
"Iran",146837
"Colombia",142727
"Argentina",130867
"China",122248
"Spain",121852
"Poland",120713
"Ukraine",109920
"South Africa",102595
"Turkey",101419
"Japan",74694
"Romania",68805
"Philippines",66864
"Chile",64482
"Canada",55103
"Hungary",49051
"Low income",48061
"Czechia",43506
"Vietnam",43206
"Greece",39035
"Bulgaria",38700
"Malaysia",37351
"Ecuador",36049
"South Korea",35934
"Thailand",34665
"Belgium",34339
"Oceania",32717
"Pakistan",30656
"Bangladesh",29496
"Tunisia",29423
"Portugal",28324
"Sweden",27309
"Iraq",25375
"Australia",25236
"Egypt",24830
"Netherlands",22986
"Austria",22534
"Bolivia",22387
"Slovakia",21226
"Guatemala",20203
"Paraguay",19880
"Myanmar",19494
"Kazakhstan",19072
"Croatia",18752
"Serbia",18057
"Georgia",17150
"Sri Lanka",16904
"Bosnia and Herzegovina",16388
"Morocco",16305
"Switzerland",14188
"Jordan",14122
"Israel",12707
"Moldova",12239
"Nepal",12031
"Finland",11466
"Honduras",11114
"Lebanon",10947
"Azerbaijan",10353
"Slovenia",10062
"North Macedonia",9977
"Lithuania",9806
"Denmark",9667
"Saudi Arabia",9646
"Ireland",9637
"Costa Rica",9368
"Armenia",8777
"Panama",8706
"Cuba",8530
"Afghanistan",7998
"Uruguay",7679
"Ethiopia",7574
"Latvia",7475
"Belarus",7118
"Algeria",6881
"Libya",6437
"Puerto Rico",5938
"Venezuela",5856
"Zimbabwe",5740
"Norway",5732
"Palestine",5708
"Kenya",5689
"Sudan",5046
"Oman",4628
"Trinidad and Tobago",4390
"Dominican Republic",4384
"El Salvador",4230
"Namibia",4108
"New Zealand",4083
"Zambia",4069
"Uganda",3632
"Albania",3605
"Jamaica",3600
"Kosovo",3212
"Syria",3163
"Nigeria",3155
"Cambodia",3056
"Estonia",2998
"Botswana",2801
"Malawi",2686
"Montenegro",2654
"Kuwait",2570
"United Arab Emirates",2349
"Mozambique",2252
"Yemen",2159
"Mongolia",2136
"Singapore",2024
"Cameroon",1974
"Senegal",1971
"Angola",1937
"Bahrain",1536
"Democratic Republic of Congo",1470
"Rwanda",1468
"Ghana",1462
"Cyprus",1445
"Madagascar",1427
"Eswatini",1427
"Suriname",1405
"Somalia",1361
"Guyana",1301
"Martinique",1104
"Mauritius",1070
"Kyrgyzstan",1024
"Guadeloupe",1021
"Uzbekistan",1016
"Luxembourg",1000
"Mauritania",997
"Reunion",921
"Malta",909
"Fiji",885
"Haiti",860
"Bahamas",848
"Tanzania",846
"Cote d'Ivoire",835
"Mali",743
"Lesotho",709
"Qatar",690
"Belize",688
"Laos",671
"Papua New Guinea",670
"French Polynesia",650
"Barbados",593
"Guinea",468
"Guam",419
"Cape Verde",417
"French Guiana",413
"Saint Lucia",410
"Burkina Faso",400
"Congo",389
"Gambia",372
"Maldives",316
"Niger",315
"New Caledonia",314
"Gabon",307
"Curacao",305
"Liberia",294
"Aruba",292
"Togo",290
"Nicaragua",245
"Grenada",238
"Solomon Islands",199
"Chad",194
"Djibouti",189
"Mayotte",187
"Iceland",186
"Equatorial Guinea",183
"Brunei",178
"Guinea-Bissau",177
"Seychelles",172
"Bermuda",165
"Benin",163
"Jersey",161
"Comoros",160
"Andorra",159
"South Sudan",147
"Antigua and Barbuda",146
"Timor",138
"United States Virgin Islands",132
"Sierra Leone",126
"San Marino",126
"Tajikistan",125
"Saint Vincent and the Grenadines",124
"Isle of Man",116
"Central African Republic",113
"Gibraltar",113
"Eritrea",103
"Sint Maarten (Dutch part)",92
"Liechtenstein",89
"Sao Tome and Principe",80
"Dominica",74
"Monaco",67
"Guernsey",67
"Micronesia (country)",65
"British Virgin Islands",64
"Saint Kitts and Nevis",46
"Saint Martin (French part)",46
"Northern Mariana Islands",41
"Bonaire Sint Eustatius and Saba",41
"Turks and Caicos Islands",40
"Cayman Islands",37
"American Samoa",34
"Samoa",31
"Faeroe Islands",28
"Kiribati",24
"Greenland",21
"Bhutan",21
"Marshall Islands",17
"Burundi",15
"Vanuatu",14
"Anguilla",12
"Tonga",12
"Palau",10
"Wallis and Futuna",9
"Montserrat",8
"Saint Barthelemy",5
"Cook Islands",2
"Saint Pierre and Miquelon",2
"Tuvalu",1
"Nauru",1
